# energy dos
-2.181173557000000329e+01 7.802201000000000022e+02
-2.180173556999999818e+01 6.914399999999999658e+00
-2.179173557000000017e+01 7.044800000000000395e+00
-2.178173557000000216e+01 7.204299999999999926e+00
-2.177173557000000415e+01 7.398399999999999643e+00
-2.176173556999999903e+01 7.630399999999999849e+00
-2.175173557000000102e+01 7.900000000000000355e+00
-2.174173557000000301e+01 8.203599999999999781e+00
-2.173173557000000500e+01 8.534000000000000696e+00
-2.172173556999999988e+01 8.881399999999999295e+00
-2.171173557000000187e+01 9.233399999999999608e+00
-2.170173557000000386e+01 9.576599999999999113e+00
-2.169173556999999875e+01 9.897500000000000853e+00
-2.168173557000000073e+01 1.018379999999999974e+01
-2.167173557000000272e+01 1.042539999999999978e+01
-2.166173557000000471e+01 1.061500000000000021e+01
-2.165173556999999960e+01 1.074859999999999971e+01
-2.164173557000000159e+01 1.082559999999999967e+01
-2.163173557000000358e+01 1.084820000000000029e+01
-2.162173556999999846e+01 1.082060000000000066e+01
-2.161173557000000045e+01 1.074900000000000055e+01
-2.160173557000000244e+01 1.063969999999999949e+01
-2.159173557000000443e+01 1.049970000000000070e+01
-2.158173556999999931e+01 1.033569999999999922e+01
-2.157173557000000130e+01 1.015390000000000015e+01
-2.156173557000000329e+01 9.961000000000000298e+00
-2.155173556999999818e+01 9.763799999999999812e+00
-2.154173557000000017e+01 9.569900000000000517e+00
-2.153173557000000216e+01 9.387499999999999289e+00
-2.152173557000000415e+01 9.225899999999999324e+00
-2.151173556999999903e+01 9.094500000000000028e+00
-2.150173557000000102e+01 9.002399999999999736e+00
-2.149173557000000301e+01 8.957900000000000418e+00
-2.148173557000000500e+01 8.966699999999999449e+00
-2.147173556999999988e+01 9.032299999999999329e+00
-2.146173557000000187e+01 9.154299999999999216e+00
-2.145173557000000386e+01 9.329100000000000392e+00
-2.144173556999999875e+01 9.549699999999999633e+00
-2.143173557000000073e+01 9.806300000000000239e+00
-2.142173557000000272e+01 1.008689999999999998e+01
-2.141173557000000471e+01 1.037839999999999918e+01
-2.140173556999999960e+01 1.066740000000000066e+01
-2.139173557000000159e+01 1.094079999999999941e+01
-2.138173557000000358e+01 1.118629999999999924e+01
-2.137173556999999846e+01 1.139329999999999998e+01
-2.136173557000000045e+01 1.155279999999999951e+01
-2.135173557000000244e+01 1.165770000000000017e+01
-2.134173557000000443e+01 1.170340000000000025e+01
-2.133173556999999931e+01 1.168800000000000061e+01
-2.132173557000000130e+01 1.161229999999999940e+01
-2.131173557000000329e+01 1.148049999999999926e+01
-2.130173556999999818e+01 1.130000000000000071e+01
-2.129173557000000017e+01 1.108089999999999975e+01
-2.128173557000000216e+01 1.083600000000000030e+01
-2.127173557000000415e+01 1.057910000000000039e+01
-2.126173556999999903e+01 1.032399999999999984e+01
-2.125173557000000102e+01 1.008309999999999995e+01
-2.124173557000000301e+01 9.865700000000000358e+00
-2.123173557000000500e+01 9.676500000000000767e+00
-2.122173556999999988e+01 9.515299999999999869e+00
-2.121173557000000187e+01 9.376799999999999358e+00
-2.120173557000000386e+01 9.250400000000000844e+00
-2.119173556999999875e+01 9.122299999999999187e+00
-2.118173557000000073e+01 8.976900000000000546e+00
-2.117173557000000272e+01 8.798799999999999955e+00
-2.116173557000000471e+01 8.575300000000000367e+00
-2.115173556999999960e+01 8.297900000000000276e+00
-2.114173557000000159e+01 7.964500000000000135e+00
-2.113173557000000358e+01 7.579600000000000115e+00
-2.112173556999999846e+01 7.155000000000000249e+00
-2.111173557000000045e+01 6.708800000000000097e+00
-2.110173557000000244e+01 6.264499999999999957e+00
-2.109173557000000443e+01 5.849199999999999733e+00
-2.108173556999999931e+01 5.491500000000000270e+00
-2.107173557000000130e+01 5.219199999999999839e+00
-2.106173557000000329e+01 5.057400000000000340e+00
-2.105173556999999818e+01 5.026399999999999757e+00
-2.104173557000000017e+01 5.140299999999999869e+00
-2.103173557000000216e+01 5.405700000000000394e+00
-2.102173557000000415e+01 5.821100000000000385e+00
