# energy s p d
-2.053173557000000216e+01 1.169800000000000173e+00 1.300000000000000044e-01 0.000000000000000000e+00
-2.052173557000000415e+01 1.157200000000000228e+00 1.287999999999999701e-01 0.000000000000000000e+00
-2.051173556999999903e+01 1.154200000000000115e+00 1.295999999999999930e-01 0.000000000000000000e+00
-2.050173557000000102e+01 1.161600000000000188e+00 1.307999999999999996e-01 0.000000000000000000e+00
-2.049173557000000301e+01 1.179299999999999793e+00 1.339999999999999802e-01 0.000000000000000000e+00
-2.048173557000000500e+01 1.207199999999999829e+00 1.384999999999999842e-01 0.000000000000000000e+00
-2.047173556999999988e+01 1.243500000000000050e+00 1.412999999999999534e-01 0.000000000000000000e+00
-2.046173557000000187e+01 1.285900000000000043e+00 1.493999999999999773e-01 0.000000000000000000e+00
-2.045173557000000386e+01 1.331200000000000161e+00 1.542999999999999927e-01 0.000000000000000000e+00
-2.044173556999999875e+01 1.376299999999999857e+00 1.614000000000000157e-01 0.000000000000000000e+00
-2.043173557000000073e+01 1.418099999999999694e+00 1.670000000000000095e-01 0.000000000000000000e+00
-2.042173557000000272e+01 1.452300000000000146e+00 1.720999999999999752e-01 0.000000000000000000e+00
-2.041173557000000471e+01 1.477499999999999813e+00 1.769000000000000017e-01 0.000000000000000000e+00
-2.040173556999999960e+01 1.490199999999999969e+00 1.784999999999999920e-01 0.000000000000000000e+00
-2.039173557000000159e+01 1.489800000000000013e+00 1.792999999999999594e-01 0.000000000000000000e+00
-2.038173557000000358e+01 1.474700000000000344e+00 1.790999999999999814e-01 0.000000000000000000e+00
-2.037173556999999846e+01 1.446100000000000385e+00 1.768000000000000127e-01 0.000000000000000000e+00
-2.036173557000000045e+01 1.403599999999999959e+00 1.734000000000000541e-01 0.000000000000000000e+00
-2.035173557000000244e+01 1.350699999999999790e+00 1.679999999999999827e-01 0.000000000000000000e+00
-2.034173557000000443e+01 1.288899999999999935e+00 1.599000000000000421e-01 0.000000000000000000e+00
-2.033173556999999931e+01 1.221700000000000008e+00 1.530000000000000249e-01 0.000000000000000000e+00
-2.032173557000000130e+01 1.152000000000000135e+00 1.467999999999999861e-01 0.000000000000000000e+00
-2.031173557000000329e+01 1.083999999999999853e+00 1.376999999999999336e-01 0.000000000000000000e+00
-2.030173556999999818e+01 1.020000000000000018e+00 1.296999999999999542e-01 0.000000000000000000e+00
-2.029173557000000017e+01 9.644999999999995799e-01 1.238000000000000350e-01 0.000000000000000000e+00
-2.028173557000000216e+01 9.189000000000000501e-01 1.185999999999999832e-01 0.000000000000000000e+00
-2.027173557000000415e+01 8.856999999999998208e-01 1.132000000000000089e-01 0.000000000000000000e+00
-2.026173556999999903e+01 8.658000000000001251e-01 1.105999999999999900e-01 0.000000000000000000e+00
-2.025173557000000102e+01 8.599999999999999867e-01 1.105999999999999900e-01 0.000000000000000000e+00
-2.024173557000000301e+01 8.680999999999999828e-01 1.115000000000000296e-01 0.000000000000000000e+00
-2.023173557000000500e+01 8.892000000000001014e-01 1.140000000000000180e-01 0.000000000000000000e+00
-2.022173556999999988e+01 9.221999999999999087e-01 1.179999999999999799e-01 0.000000000000000000e+00
-2.021173557000000187e+01 9.649000000000002020e-01 1.225999999999999868e-01 0.000000000000000000e+00
-2.020173557000000386e+01 1.016099999999999781e+00 1.302999999999999992e-01 0.000000000000000000e+00
-2.019173556999999875e+01 1.073499999999999899e+00 1.356999999999999873e-01 0.000000000000000000e+00
-2.018173557000000073e+01 1.134800000000000031e+00 1.418999999999999706e-01 0.000000000000000000e+00
-2.017173557000000272e+01 1.198399999999999910e+00 1.502000000000000279e-01 0.000000000000000000e+00
-2.016173557000000471e+01 1.261900000000000022e+00 1.589999999999999747e-01 0.000000000000000000e+00
-2.015173556999999960e+01 1.324199999999999822e+00 1.668000000000000038e-01 0.000000000000000000e+00
-2.014173557000000159e+01 1.382900000000000240e+00 1.742999999999999827e-01 0.000000000000000000e+00
-2.013173557000000358e+01 1.436900000000000066e+00 1.810999999999999832e-01 0.000000000000000000e+00
-2.012173556999999846e+01 1.484399999999999942e+00 1.890999999999999626e-01 0.000000000000000000e+00
-2.011173557000000045e+01 1.524800000000000155e+00 1.941999999999999837e-01 0.000000000000000000e+00
-2.010173557000000244e+01 1.556699999999999973e+00 1.998000000000000331e-01 0.000000000000000000e+00
-2.009173557000000443e+01 1.579999999999999627e+00 2.033999999999999697e-01 0.000000000000000000e+00
-2.008173556999999931e+01 1.594799999999999995e+00 2.056999999999999940e-01 0.000000000000000000e+00
-2.007173557000000130e+01 1.601299999999999946e+00 2.084999999999999631e-01 0.000000000000000000e+00
-2.006173557000000329e+01 1.600899999999999768e+00 2.103999999999999482e-01 0.000000000000000000e+00
-2.005173556999999818e+01 1.594300000000000272e+00 2.096999999999999698e-01 0.000000000000000000e+00
-2.004173557000000017e+01 1.584199999999999831e+00 2.099000000000000310e-01 0.000000000000000000e+00
-2.003173557000000216e+01 1.571800000000000086e+00 2.102999999999999869e-01 0.000000000000000000e+00
-2.002173557000000415e+01 1.559100000000000152e+00 2.106999999999999984e-01 0.000000000000000000e+00
-2.001173556999999903e+01 1.547399999999999887e+00 2.097999999999999587e-01 0.000000000000000000e+00
-2.000173557000000102e+01 1.537900000000000267e+00 2.099999999999999922e-01 0.000000000000000000e+00
-1.999173557000000301e+01 1.531800000000000050e+00 2.103999999999999482e-01 0.000000000000000000e+00
-1.998173557000000500e+01 1.529400000000000093e+00 2.104999999999999927e-01 0.000000000000000000e+00
-1.997173556999999988e+01 1.530500000000000194e+00 2.103000000000000147e-01 0.000000000000000000e+00
-1.996173557000000187e+01 1.533999999999999808e+00 2.123999999999999777e-01 0.000000000000000000e+00
-1.995173557000000386e+01 1.540300000000000447e+00 2.132000000000000284e-01 0.000000000000000000e+00
-1.994173556999999875e+01 1.546700000000000186e+00 2.158000000000000196e-01 0.000000000000000000e+00
-1.993173557000000073e+01 1.553800000000000292e+00 2.175999999999999879e-01 0.000000000000000000e+00
-1.992173557000000272e+01 1.559199999999999919e+00 2.185999999999999333e-01 0.000000000000000000e+00
-1.991173557000000471e+01 1.563499999999999668e+00 2.200999999999999346e-01 0.000000000000000000e+00
-1.990173556999999960e+01 1.564799999999999969e+00 2.205999999999999905e-01 0.000000000000000000e+00
-1.989173557000000159e+01 1.563100000000000378e+00 2.207000000000000628e-01 0.000000000000000000e+00
-1.988173557000000358e+01 1.558499999999999774e+00 2.196000000000000174e-01 0.000000000000000000e+00
-1.987173556999999846e+01 1.551300000000000345e+00 2.195999999999999619e-01 0.000000000000000000e+00
-1.986173557000000045e+01 1.542400000000000215e+00 2.183999999999999830e-01 0.000000000000000000e+00
-1.985173557000000244e+01 1.531599999999999406e+00 2.166000000000000147e-01 0.000000000000000000e+00
-1.984173557000000443e+01 1.520200000000000218e+00 2.144000000000000072e-01 0.000000000000000000e+00
-1.983173556999999931e+01 1.509800000000000031e+00 2.133999999999999786e-01 0.000000000000000000e+00
-1.982173557000000130e+01 1.501300000000000301e+00 2.117999999999999883e-01 0.000000000000000000e+00
-1.981173557000000329e+01 1.496300000000000185e+00 2.120999999999999830e-01 0.000000000000000000e+00
-1.980173556999999818e+01 1.495500000000000274e+00 2.128999999999999504e-01 0.000000000000000000e+00
-1.979173557000000017e+01 1.500500000000000389e+00 2.133999999999999508e-01 0.000000000000000000e+00
-1.978173557000000216e+01 1.511499999999999844e+00 2.165999999999999592e-01 0.000000000000000000e+00
-1.977173557000000415e+01 1.528999999999999693e+00 2.198000000000000231e-01 0.000000000000000000e+00
-1.976173556999999903e+01 1.553100000000000147e+00 2.234000000000000152e-01 0.000000000000000000e+00
-1.975173557000000102e+01 1.582600000000000007e+00 2.286999999999999589e-01 0.000000000000000000e+00
-1.974173557000000301e+01 1.616899999999999560e+00 2.344999999999999862e-01 0.000000000000000000e+00
-1.973173557000000500e+01 1.653499999999999970e+00 2.409000000000000030e-01 0.000000000000000000e+00
-1.972173556999999988e+01 1.691500000000000670e+00 2.474000000000000365e-01 0.000000000000000000e+00
-1.971173557000000187e+01 1.727599999999999358e+00 2.542999999999999150e-01 0.000000000000000000e+00
-1.970173557000000386e+01 1.760200000000000431e+00 2.600000000000000644e-01 0.000000000000000000e+00
-1.969173556999999875e+01 1.786399999999999766e+00 2.651999999999999358e-01 0.000000000000000000e+00
-1.968173557000000073e+01 1.804899999999999949e+00 2.686000000000000054e-01 0.000000000000000000e+00
-1.967173557000000272e+01 1.812399999999999567e+00 2.713999999999999746e-01 0.000000000000000000e+00
-1.966173557000000471e+01 1.808799999999999963e+00 2.704000000000000292e-01 0.000000000000000000e+00
-1.965173556999999960e+01 1.792499999999999760e+00 2.697999999999999843e-01 0.000000000000000000e+00
-1.964173557000000159e+01 1.762999999999999456e+00 2.646999999999999909e-01 0.000000000000000000e+00
-1.963173557000000358e+01 1.720700000000000118e+00 2.605999999999999983e-01 0.000000000000000000e+00
-1.962173556999999846e+01 1.665999999999999703e+00 2.520999999999999353e-01 0.000000000000000000e+00
-1.961173557000000045e+01 1.600100000000000522e+00 2.438999999999999502e-01 0.000000000000000000e+00
-1.960173557000000244e+01 1.526100000000000012e+00 2.327000000000000179e-01 0.000000000000000000e+00
-1.959173557000000443e+01 1.444899999999999851e+00 2.218999999999999584e-01 0.000000000000000000e+00
-1.958173556999999931e+01 1.360600000000000254e+00 2.101000000000000367e-01 0.000000000000000000e+00
-1.957173557000000130e+01 1.275300000000000100e+00 1.973000000000000309e-01 0.000000000000000000e+00
-1.956173557000000329e+01 1.193100000000000049e+00 1.862000000000000044e-01 0.000000000000000000e+00
-1.955173556999999818e+01 1.116900000000000226e+00 1.740000000000000435e-01 0.000000000000000000e+00
-1.954173557000000017e+01 1.050399999999999778e+00 1.651000000000000245e-01 0.000000000000000000e+00
-1.953173557000000216e+01 9.969999999999998863e-01 1.581000000000000183e-01 0.000000000000000000e+00
-1.952173557000000415e+01 9.592000000000000526e-01 1.517000000000000015e-01 0.000000000000000000e+00
-1.951173556999999903e+01 9.386999999999997568e-01 1.500999999999999279e-01 0.000000000000000000e+00
-1.950173557000000102e+01 9.370000000000001661e-01 1.499999999999999667e-01 0.000000000000000000e+00
-1.949173557000000301e+01 9.549000000000001931e-01 1.527999999999999636e-01 0.000000000000000000e+00
-1.948173557000000500e+01 9.920000000000001039e-01 1.607000000000000095e-01 0.000000000000000000e+00
-1.947173556999999988e+01 1.046199999999999797e+00 1.687000000000000166e-01 0.000000000000000000e+00
-1.946173557000000187e+01 1.116000000000000103e+00 1.798000000000000154e-01 0.000000000000000000e+00
-1.945173557000000386e+01 1.196900000000000075e+00 1.931999999999999551e-01 0.000000000000000000e+00
-1.944173556999999875e+01 1.286399999999999988e+00 2.078999999999999737e-01 0.000000000000000000e+00
-1.943173557000000073e+01 1.379000000000000004e+00 2.227999999999999980e-01 0.000000000000000000e+00
-1.942173557000000272e+01 1.470899999999999874e+00 2.381999999999999396e-01 0.000000000000000000e+00
-1.941173557000000471e+01 1.556599999999999095e+00 2.518000000000000238e-01 0.000000000000000000e+00
-1.940173556999999960e+01 1.633299999999999974e+00 2.641999999999999904e-01 0.000000000000000000e+00
-1.939173557000000159e+01 1.698200000000000154e+00 2.762000000000000011e-01 0.000000000000000000e+00
-1.938173557000000358e+01 1.748199999999999754e+00 2.856999999999999540e-01 0.000000000000000000e+00
-1.937173556999999846e+01 1.783899999999999819e+00 2.922000000000000153e-01 0.000000000000000000e+00
-1.936173557000000045e+01 1.805600000000000538e+00 2.980000000000000426e-01 0.000000000000000000e+00
-1.935173557000000244e+01 1.814300000000000690e+00 3.007000000000000228e-01 0.000000000000000000e+00
-1.934173557000000443e+01 1.813199999999999923e+00 3.017000000000000237e-01 0.000000000000000000e+00
-1.933173556999999931e+01 1.805899999999999173e+00 3.026999999999999136e-01 0.000000000000000000e+00
-1.932173557000000130e+01 1.795900000000000274e+00 3.042999999999999594e-01 0.000000000000000000e+00
-1.931173557000000329e+01 1.787599999999999856e+00 3.050000000000000488e-01 0.000000000000000000e+00
-1.930173556999999818e+01 1.783699999999999841e+00 3.073000000000000731e-01 0.000000000000000000e+00
-1.929173557000000017e+01 1.787600000000000078e+00 3.106999999999999762e-01 0.000000000000000000e+00
-1.928173557000000216e+01 1.801099999999999923e+00 3.150000000000000022e-01 0.000000000000000000e+00
-1.927173557000000415e+01 1.825300000000000367e+00 3.211000000000000520e-01 0.000000000000000000e+00
-1.926173556999999903e+01 1.859900000000000331e+00 3.281999999999999362e-01 0.000000000000000000e+00
-1.925173557000000102e+01 1.904500000000000304e+00 3.380999999999999006e-01 0.000000000000000000e+00
-1.924173557000000301e+01 1.957199999999999829e+00 3.485000000000000875e-01 0.000000000000000000e+00
-1.923173557000000500e+01 2.015900000000000247e+00 3.593999999999999417e-01 0.000000000000000000e+00
-1.922173556999999988e+01 2.076900000000000190e+00 3.719000000000000083e-01 0.000000000000000000e+00
-1.921173557000000187e+01 2.137899999999999689e+00 3.824000000000000177e-01 0.000000000000000000e+00
-1.920173557000000386e+01 2.194700000000000095e+00 3.915999999999998926e-01 0.000000000000000000e+00
-1.919173556999999875e+01 2.243699999999999140e+00 3.999999999999998557e-01 0.000000000000000000e+00
-1.918173557000000073e+01 2.282499999999999307e+00 4.070000000000000839e-01 0.000000000000000000e+00
-1.917173557000000272e+01 2.307799999999999407e+00 4.107999999999999985e-01 0.000000000000000000e+00
-1.916173557000000471e+01 2.317000000000000171e+00 4.125999999999999668e-01 0.000000000000000000e+00
-1.915173556999999960e+01 2.310000000000000497e+00 4.103000000000000536e-01 0.000000000000000000e+00
-1.914173557000000159e+01 2.285200000000000120e+00 4.052000000000000601e-01 0.000000000000000000e+00
-1.913173557000000358e+01 2.242900000000000116e+00 3.973000000000001530e-01 0.000000000000000000e+00
-1.912173556999999846e+01 2.185099999999999820e+00 3.862000000000000433e-01 0.000000000000000000e+00
-1.911173557000000045e+01 2.113200000000000411e+00 3.734000000000001207e-01 0.000000000000000000e+00
-1.910173557000000244e+01 2.030200000000000227e+00 3.583999999999999964e-01 0.000000000000000000e+00
-1.909173557000000443e+01 1.939800000000000635e+00 3.425000000000000266e-01 0.000000000000000000e+00
-1.908173556999999931e+01 1.845299999999999940e+00 3.257999999999999230e-01 0.000000000000000000e+00
-1.907173557000000130e+01 1.749600000000000710e+00 3.091000000000000414e-01 0.000000000000000000e+00
-1.906173557000000329e+01 1.656599999999999628e+00 2.926999999999999047e-01 0.000000000000000000e+00
-1.905173556999999818e+01 1.568200000000000260e+00 2.782999999999999918e-01 0.000000000000000000e+00
-1.904173557000000017e+01 1.487399999999999833e+00 2.645000000000000129e-01 0.000000000000000000e+00
-1.903173557000000216e+01 1.415499999999999980e+00 2.514000000000000123e-01 0.000000000000000000e+00
-1.902173557000000415e+01 1.353599999999999692e+00 2.416999999999999427e-01 0.000000000000000000e+00
-1.901173556999999903e+01 1.301800000000000068e+00 2.346999999999999920e-01 0.000000000000000000e+00
-1.900173557000000102e+01 1.260599999999999721e+00 2.272000000000000131e-01 0.000000000000000000e+00
-1.899173557000000301e+01 1.229700000000000015e+00 2.224000000000000421e-01 0.000000000000000000e+00
-1.898173557000000500e+01 1.208099999999999952e+00 2.202999999999999958e-01 0.000000000000000000e+00
-1.897173556999999988e+01 1.195499999999999785e+00 2.183999999999999553e-01 0.000000000000000000e+00
